Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655362.466659,-7.4268,0.6889680720000018,-1694,2
1539655362.498591,-7.6184,0.646482924,-1716,2
1539655362.530638,-7.8061,0.5615126280000009,-1846,2
1539655362.562658,-7.9969,0.5190274800000013,-1768,2
1539655362.594665,-8.1876,0.47654233200000173,-1866,2
1539655362.626792,-8.3792,0.3915720360000004,-1844,2
1539655362.658774,-8.5689,0.3915720360000004,-1930,2
1539655362.6908212,-8.7597,0.3490868880000008,-1976,2
1539655362.7226481,-8.9516,0.3066017400000013,-1950,2
1539655362.7546508,-9.1433,0.2641165920000018,-1912,2
1539655362.7865212,-9.334,0.22163144399999998,-1970,2
1539655362.81901,-9.5272,0.22163144399999998,-2018,2
1539655362.850944,-9.7202,0.22163144399999998,-1916,2
1539655362.882594,-9.9118,0.17914629600000043,-2018,2
1539655362.9148731,-10.1016,0.22163144399999998,-1984,2
1539655362.946717,-10.2952,0.17914629600000043,-2028,2
1539655362.9786801,-10.4868,0.17914629600000043,-1994,2
1539655363.010779,-10.6801,0.22163144399999998,-1954,2
1539655363.0427132,-10.8717,0.17914629600000043,-2048,2
1539655363.0747871,-11.0579,0.22163144399999998,-2100,2
1539655363.107241,-11.2496,0.17914629600000043,-2054,2
1539655363.138968,-11.4412,0.17914629600000043,-2156,2
1539655363.171249,-11.6306,0.22163144399999998,-2138,2
1539655363.202999,-11.8302,0.22163144399999998,-2092,2
1539655363.235065,-12.0198,0.22163144399999998,-2040,2
1539655363.266903,-12.209,0.22163144399999998,-2054,2
1539655363.2993972,-12.4027,0.22163144399999998,-1954,2
1539655363.331344,-12.6021,0.17914629600000043,-2024,2
1539655363.363484,-12.7929,0.17914629600000043,-2008,2
1539655363.394945,-12.9863,0.17914629600000043,-1964,2
1539655363.4270551,-13.1733,0.22163144399999998,-1980,2
1539655363.459148,-13.3661,0.22163144399999998,-2024,2
1539655363.491078,-13.5597,0.22163144399999998,-2016,2
1539655363.5232298,-13.7521,0.22163144399999998,-1946,2
1539655363.5552168,-13.9426,0.22163144399999998,-2018,2
1539655363.5875049,-14.1327,0.22163144399999998,-1982,2
1539655363.619363,-14.3328,0.22163144399999998,-2040,2
1539655363.651238,-14.5188,0.22163144399999998,-1974,2
1539655363.6832829,-14.7115,0.17914629600000043,-2022,2
1539655363.7151308,-14.9037,0.22163144399999998,-2026,2
1539655363.7472188,-15.0936,0.22163144399999998,-2040,2
1539655363.779247,-15.2862,0.17914629600000043,-2042,2
1539655363.8113768,-15.4798,0.17914629600000043,-2000,2
1539655363.84324,-15.6742,0.17914629600000043,-2032,2
1539655363.875516,-15.8633,0.22163144399999998,-2010,2
1539655363.907394,-16.0581,0.17914629600000043,-1982,2
1539655363.939394,-16.2509,0.17914629600000043,-2006,2
1539655363.971411,-16.4365,0.22163144399999998,-2102,2
1539655364.0034099,-16.6276,0.22163144399999998,-2118,2
1539655364.035257,-16.8161,0.17914629600000043,-2142,2
1539655364.0675268,-17.0067,0.22163144399999998,-2172,2
1539655364.099531,-17.2008,0.22163144399999998,-2178,2
1539655364.131488,-17.3934,0.17914629600000043,-2136,2
1539655364.163548,-17.5853,0.17914629600000043,-2208,2
1539655364.195474,-17.7757,0.17914629600000043,-2162,2
1539655364.228174,-17.9665,0.13666114800000087,-2206,2
1539655364.259661,-18.1626,0.17914629600000043,-2248,2
